,orthography,phonology,Class,gender,gender_numeric
338,abkaufen,&pkBf@n,V,,
339,abkehren,&pker@n,V,,
340,Abkehr,&pker,N,v.,2.0
341,abkippen,&pkIp@n,V,,
342,abklappern,&pkl&p@rn,V,,
343,abklaeren,&pkl)r@n,V,,
344,abklatschen,&pkl&J@n,V,,
345,Abklatsch,&pkl&J,N,m.,1.0
346,abklemmen,&pklEm@n,V,,
347,abklingen,&pklIN@n,V,,
348,abklopfen,&pklO+@n,V,,
349,abknabbern,&pkn&b@rn,V,,
350,abknallen,&pkn&l@n,V,,
351,abknappen,&pkn&p@n,V,,
352,abknapsen,&pkn&ps@n,V,,
353,abknicken,&pknIk@n,V,,
354,abknoepfen,&pkn/+@n,V,,
355,abkochen,&pkOx@n,V,,
356,abkommen,&pkOm@n,V,,
357,abkommandieren,&pkOm&ndir@n,V,,
358,Abkomme,&pkOm@,N,m.,1.0
359,Abkommen,&pkOm@n,N,o.,3.0
360,Abkommenschaft,&pkOm@nS&ft,N,v.,2.0
361,abkoemmlich,&pk/mlIx,A,,
362,Abkoemmling,&pk/mlIN,N,m.,1.0
363,abkoennen,&pk/n@n,V,,
364,abkonterfeien,&pkOnt@rfW@n,V,,
365,abkoppeln,&pkOp@ln,V,,
366,abkragen,&pkrag@n,V,,
367,abkratzen,&pkr&=@n,V,,
368,abkriegen,&pkrig@n,V,,
369,abkuehlen,&pkyl@n,V,,
370,abkuendigen,&pkYndIg@n,V,,
371,Abkunft,&pkUnft,N,v.,2.0
372,abkupfern,&pkU+@rn,V,,
373,abkuerzen,&pkYr=@n,V,,
374,Abkuerzung,&pkYr=UN,N,v.,2.0
375,Abkuerzungssprache,&pkYr=UNsSprax@,N,v.,2.0
376,Abkuerzungsverzeichnis,&pkYr=UNsfEr=WxnIs,N,o.,3.0
377,Abkuerzungszeichen,&pkYr=UNs=Wx@n,N,o.,3.0
378,abladen,&plad@n,V,,
379,Abladeplatz,&plad@pl&=,N,m.,1.0
380,Ablader,&plad@r,N,m.,1.0
381,Abladung,&pladUN,N,v.,2.0
382,Ablage,&plag@,N,v.,2.0
383,ablagern,&plag@rn,V,,
384,Ablagerung,&plag@rUN,N,v.,2.0
385,ablandig,&pl&ndIx,A,,
386,ablassen,&pl&s@n,V,,
387,Ablass,&pl&s,N,m.,1.0
